ticket_id,text,category,urgency
1,I was charged twice for my Enterprise subscription this month.,billing,low
2,Can you explain the extra charge on my last bill?,billing,low
3,"My invoice for May shows the wrong amount, can you check?",billing,medium
4,What are your business hours for support on Web?,general,medium
5,"My invoice for March shows the wrong amount, can you check?",billing,low
6,I forgot my password and the reset email never arrives.,account,low
7,Can I merge two accounts under one email?,account,medium
8,Does your Enterprise plan include priority support?,general,medium
9,I was charged twice for my Pro subscription this month.,billing,high
10,The payment failed but money was still deducted from my card.,billing,low
11,How do I change the email linked to my account?,account,medium
12,The dashboard is loading extremely slowly today.,technical,medium
13,The API is returning a 500 error when I call the /users endpoint.,technical,high
14,"I love the product, just wanted to say thanks!",general,low
15,Do you have a public roadmap for upcoming features?,general,low
16,Can I merge two accounts under one email?,account,low
17,The dashboard is loading extremely slowly today.,technical,high
18,"I can't log in, it says 'server error' every time on iOS.",technical,medium
19,Is there a student discount available?,general,medium
20,Can you explain the extra charge on my last bill?,billing,low
21,What are your business hours for support on Web?,general,high
22,The dashboard is loading extremely slowly today.,technical,high
23,"I can't log in, it says 'server error' every time on iOS.",technical,medium
24,Does your Basic plan include priority support?,general,low
25,The dashboard is loading extremely slowly today.,technical,high
26,"I can't log in, it says 'server error' every time on Android.",technical,medium
27,What are your business hours for support on Web?,general,low
28,My account got locked after too many login attempts.,account,low
29,I forgot my password and the reset email never arrives.,account,low
30,"My invoice for January shows the wrong amount, can you check?",billing,low
31,The API is returning a 500 error when I call the /users endpoint.,technical,high
32,What are your business hours for support on Android?,general,low
33,"I love the product, just wanted to say thanks!",general,high
34,I was charged twice for my Basic subscription this month.,billing,high
35,"My invoice for February shows the wrong amount, can you check?",billing,low
36,The API is returning a 500 error when I call the /users endpoint.,technical,medium
37,I was charged twice for my Basic subscription this month.,billing,low
38,Do you have a public roadmap for upcoming features?,general,low
39,The payment failed but money was still deducted from my card.,billing,medium
40,What are your business hours for support on Android?,general,high
41,"I want a refund for the Basic plan, it was charged by mistake.",billing,medium
42,The app keeps crashing when I try to upload a file on iOS.,technical,medium
43,Sync between devices is not working since the last update.,technical,medium
44,Can you explain the extra charge on my last bill?,billing,high
45,The API is returning a 500 error when I call the /users endpoint.,technical,low
46,My account got locked after too many login attempts.,account,low
47,I was charged twice for my Pro subscription this month.,billing,low
48,I forgot my password and the reset email never arrives.,account,low
49,Can I merge two accounts under one email?,account,high
50,"My invoice for January shows the wrong amount, can you check?",billing,high
51,The API is returning a 500 error when I call the /users endpoint.,technical,high
52,The API is returning a 500 error when I call the /users endpoint.,technical,low
53,"I love the product, just wanted to say thanks!",general,medium
54,How do I change the email linked to my account?,account,medium
55,I was charged twice for my Pro subscription this month.,billing,high
56,Sync between devices is not working since the last update.,technical,medium
57,"I want a refund for the Pro plan, it was charged by mistake.",billing,high
58,Can I merge two accounts under one email?,account,high
59,"I can't log in, it says 'server error' every time on iOS.",technical,low
60,My account got locked after too many login attempts.,account,medium
61,The payment failed but money was still deducted from my card.,billing,low
62,"I love the product, just wanted to say thanks!",general,low
63,Sync between devices is not working since the last update.,technical,high
64,I want to delete my account and all my data permanently.,account,high
65,"I want a refund for the Pro plan, it was charged by mistake.",billing,low
66,"I love the product, just wanted to say thanks!",general,low
67,The API is returning a 500 error when I call the /users endpoint.,technical,low
68,The API is returning a 500 error when I call the /users endpoint.,technical,high
69,"I want a refund for the Enterprise plan, it was charged by mistake.",billing,medium
70,Can I merge two accounts under one email?,account,medium
71,What are your business hours for support on iOS?,general,low
72,Sync between devices is not working since the last update.,technical,medium
73,The dashboard is loading extremely slowly today.,technical,high
74,Can I merge two accounts under one email?,account,medium
75,"I can't log in, it says 'server error' every time on iOS.",technical,medium
76,Is there a student discount available?,general,high
77,Sync between devices is not working since the last update.,technical,low
78,I was charged twice for my Team subscription this month.,billing,high
79,Does your Pro plan include priority support?,general,low
80,Is there a student discount available?,general,medium
81,What are your business hours for support on Web?,general,medium
82,Can I merge two accounts under one email?,account,low
83,"I want a refund for the Pro plan, it was charged by mistake.",billing,medium
84,"My invoice for February shows the wrong amount, can you check?",billing,high
85,The app keeps crashing when I try to upload a file on Web.,technical,medium
86,Does your Pro plan include priority support?,general,high
87,Can you explain the extra charge on my last bill?,billing,high
88,My account got locked after too many login attempts.,account,low
89,My account got locked after too many login attempts.,account,low
90,What are your business hours for support on iOS?,general,high
91,I was charged twice for my Team subscription this month.,billing,low
92,My account got locked after too many login attempts.,account,low
93,"I love the product, just wanted to say thanks!",general,low
94,"I want a refund for the Pro plan, it was charged by mistake.",billing,high
95,I was charged twice for my Pro subscription this month.,billing,high
96,"I can't log in, it says 'server error' every time on iOS.",technical,medium
97,Sync between devices is not working since the last update.,technical,high
98,"My invoice for January shows the wrong amount, can you check?",billing,high
99,Do you have a public roadmap for upcoming features?,general,low
100,Can I merge two accounts under one email?,account,low
101,"I love the product, just wanted to say thanks!",general,low
102,Do you have a public roadmap for upcoming features?,general,medium
103,What are your business hours for support on Web?,general,medium
104,Do you have a public roadmap for upcoming features?,general,low
105,The app keeps crashing when I try to upload a file on Android.,technical,high
106,"I love the product, just wanted to say thanks!",general,low
107,The API is returning a 500 error when I call the /users endpoint.,technical,high
108,Can I merge two accounts under one email?,account,low
109,Do you have a public roadmap for upcoming features?,general,medium
110,Do you have a public roadmap for upcoming features?,general,low
111,The API is returning a 500 error when I call the /users endpoint.,technical,medium
112,I want to delete my account and all my data permanently.,account,low
113,"My invoice for January shows the wrong amount, can you check?",billing,low
114,"I love the product, just wanted to say thanks!",general,low
115,How do I change the email linked to my account?,account,low
116,Can you explain the extra charge on my last bill?,billing,high
117,Does your Basic plan include priority support?,general,low
118,"I love the product, just wanted to say thanks!",general,high
119,Does your Basic plan include priority support?,general,low
120,"My invoice for May shows the wrong amount, can you check?",billing,low
121,The app keeps crashing when I try to upload a file on Android.,technical,high
122,Do you have a public roadmap for upcoming features?,general,low
123,Can you explain the extra charge on my last bill?,billing,medium
124,"My invoice for February shows the wrong amount, can you check?",billing,low
125,Do you have a public roadmap for upcoming features?,general,low
126,My account got locked after too many login attempts.,account,high
127,Sync between devices is not working since the last update.,technical,high
128,How do I change the email linked to my account?,account,medium
129,My account got locked after too many login attempts.,account,medium
130,Can I merge two accounts under one email?,account,medium
131,"I love the product, just wanted to say thanks!",general,low
132,"I want a refund for the Basic plan, it was charged by mistake.",billing,medium
133,"I love the product, just wanted to say thanks!",general,medium
134,Does your Team plan include priority support?,general,low
135,"My invoice for April shows the wrong amount, can you check?",billing,medium
136,Is there a student discount available?,general,low
137,I forgot my password and the reset email never arrives.,account,medium
138,Do you have a public roadmap for upcoming features?,general,medium
139,Do you have a public roadmap for upcoming features?,general,medium
140,My account got locked after too many login attempts.,account,high
141,"I can't log in, it says 'server error' every time on iOS.",technical,medium
142,"My invoice for April shows the wrong amount, can you check?",billing,high
143,Sync between devices is not working since the last update.,technical,medium
144,Do you have a public roadmap for upcoming features?,general,low
145,The app keeps crashing when I try to upload a file on Web.,technical,high
146,I forgot my password and the reset email never arrives.,account,medium
147,What are your business hours for support on Desktop?,general,low
148,Do you have a public roadmap for upcoming features?,general,medium
149,Sync between devices is not working since the last update.,technical,high
150,Do you have a public roadmap for upcoming features?,general,low
151,I forgot my password and the reset email never arrives.,account,low
152,Sync between devices is not working since the last update.,technical,high
153,I want to delete my account and all my data permanently.,account,high
154,"I love the product, just wanted to say thanks!",general,medium
155,The API is returning a 500 error when I call the /users endpoint.,technical,medium
156,I was charged twice for my Team subscription this month.,billing,high
157,"I want a refund for the Basic plan, it was charged by mistake.",billing,medium
158,"I can't log in, it says 'server error' every time on Android.",technical,low
159,Can you explain the extra charge on my last bill?,billing,medium
160,"I can't log in, it says 'server error' every time on Web.",technical,medium
161,The payment failed but money was still deducted from my card.,billing,low
162,Can I merge two accounts under one email?,account,medium
163,"I love the product, just wanted to say thanks!",general,low
164,Is there a student discount available?,general,high
165,I forgot my password and the reset email never arrives.,account,medium
166,Can you explain the extra charge on my last bill?,billing,high
167,How do I change the email linked to my account?,account,medium
168,The app keeps crashing when I try to upload a file on Desktop.,technical,low
169,How do I change the email linked to my account?,account,medium
170,"I can't log in, it says 'server error' every time on Web.",technical,medium
171,How do I change the email linked to my account?,account,medium
172,I forgot my password and the reset email never arrives.,account,medium
173,Sync between devices is not working since the last update.,technical,low
174,The payment failed but money was still deducted from my card.,billing,medium
175,I forgot my password and the reset email never arrives.,account,medium
176,Can I merge two accounts under one email?,account,medium
177,"I love the product, just wanted to say thanks!",general,low
178,"I want a refund for the Team plan, it was charged by mistake.",billing,medium
179,Sync between devices is not working since the last update.,technical,medium
180,Sync between devices is not working since the last update.,technical,high
181,I forgot my password and the reset email never arrives.,account,low
182,The API is returning a 500 error when I call the /users endpoint.,technical,medium
183,I forgot my password and the reset email never arrives.,account,high
184,Does your Pro plan include priority support?,general,low
185,How do I change the email linked to my account?,account,low
186,The dashboard is loading extremely slowly today.,technical,high
187,"I want a refund for the Pro plan, it was charged by mistake.",billing,high
188,I was charged twice for my Pro subscription this month.,billing,high
189,The dashboard is loading extremely slowly today.,technical,medium
190,Sync between devices is not working since the last update.,technical,medium
191,Can I merge two accounts under one email?,account,high
192,Can you explain the extra charge on my last bill?,billing,low
193,Do you have a public roadmap for upcoming features?,general,low
194,Does your Basic plan include priority support?,general,low
195,Can I merge two accounts under one email?,account,low
196,Does your Basic plan include priority support?,general,low
197,Sync between devices is not working since the last update.,technical,medium
198,"I want a refund for the Team plan, it was charged by mistake.",billing,medium
199,Sync between devices is not working since the last update.,technical,low
200,"I want a refund for the Pro plan, it was charged by mistake.",billing,medium
201,I forgot my password and the reset email never arrives.,account,high
202,"I want a refund for the Enterprise plan, it was charged by mistake.",billing,medium
203,"I can't log in, it says 'server error' every time on iOS.",technical,medium
204,I forgot my password and the reset email never arrives.,account,medium
205,Can you explain the extra charge on my last bill?,billing,medium
206,I want to delete my account and all my data permanently.,account,high
207,Does your Pro plan include priority support?,general,low
208,Sync between devices is not working since the last update.,technical,low
209,I want to delete my account and all my data permanently.,account,low
210,I was charged twice for my Enterprise subscription this month.,billing,medium
211,Do you have a public roadmap for upcoming features?,general,low
212,"I want a refund for the Team plan, it was charged by mistake.",billing,low
213,Is there a student discount available?,general,low
214,"I can't log in, it says 'server error' every time on Web.",technical,low
